날짜시간,항공사,가격
2025-01-12 00:00:00-14:00,대한항공,"230,700"
2025-01-13 00:00:00-16:20,제주항공,"152,500"
2025-01-13 00:00:00-17:55,제주항공,"166,800"
2025-01-13 00:00:00-06:30,제주항공,"166,800"
2025-01-13 00:00:00-07:55,제주항공,"195,000"
2025-01-13 00:00:00-15:20,아시아나항공,"229,100"
2025-01-13 00:00:00-16:55,아시아나항공,"229,100"
2025-01-13 00:00:00-10:35,아시아나항공,"229,100"
2025-01-13 00:00:00-12:00,대한항공,"230,000"
2025-01-13 00:00:00-12:40,대한항공,"230,000"
2025-01-13 00:00:00-14:00,대한항공,"230,000"
2025-01-14 00:00:00-16:20,제주항공,"132,400"
2025-01-14 00:00:00-17:55,진에어,"136,600"
2025-01-14 00:00:00-17:20,제주항공,"140,700"
2025-01-14 00:00:00-18:45,제주항공,"154,500"
2025-01-14 00:00:00-15:20,제주항공,"168,300"
2025-01-14 00:00:00-16:55,진에어,"174,500"
2025-01-14 00:00:00-06:30,진에어,"174,500"
2025-01-14 00:00:00-07:55,아시아나항공,"229,100"
2025-01-14 00:00:00-10:35,아시아나항공,"229,100"
2025-01-14 00:00:00-12:00,아시아나항공,"229,100"
2025-01-15 00:00:00-16:20,제주항공,"132,400"
2025-01-15 00:00:00-17:55,진에어,"136,600"
2025-01-15 00:00:00-17:20,제주항공,"140,700"
2025-01-15 00:00:00-18:45,제주항공,"154,500"
2025-01-15 00:00:00-15:20,제주항공,"168,300"
2025-01-15 00:00:00-16:55,진에어,"174,500"
2025-01-15 00:00:00-06:30,진에어,"174,500"
2025-01-15 00:00:00-07:55,아시아나항공,"229,100"
2025-01-15 00:00:00-10:35,아시아나항공,"229,100"
2025-01-15 00:00:00-12:00,아시아나항공,"229,100"
2025-01-16 00:00:00-16:20,제주항공,"138,100"
2025-01-16 00:00:00-17:55,진에어,"145,300"
2025-01-16 00:00:00-17:20,제주항공,"166,800"
2025-01-16 00:00:00-18:45,제주항공,"166,800"
2025-01-16 00:00:00-06:30,진에어,"174,100"
2025-01-16 00:00:00-07:55,진에어,"174,100"
2025-01-16 00:00:00-15:20,제주항공,"181,400"
2025-01-16 00:00:00-16:55,아시아나항공,"229,100"
2025-01-16 00:00:00-06:50,아시아나항공,"229,100"
2025-01-16 00:00:00-08:10,아시아나항공,"229,100"
2025-01-17 00:00:00-16:20,제주항공,"168,300"
2025-01-17 00:00:00-17:55,진에어,"174,500"
2025-01-17 00:00:00-17:20,제주항공,"183,000"
2025-01-17 00:00:00-18:45,제주항공,"196,800"
2025-01-17 00:00:00-15:20,진에어,"206,500"
2025-01-17 00:00:00-16:55,진에어,"206,500"
2025-01-17 00:00:00-06:30,제주항공,"210,300"
2025-01-17 00:00:00-07:55,아시아나항공,"229,100"
2025-01-17 00:00:00-06:50,아시아나항공,"229,100"
2025-01-17 00:00:00-08:10,아시아나항공,"229,100"
2025-01-18 00:00:00-16:20,제주항공,"166,800"
2025-01-18 00:00:00-17:55,진에어,"174,100"
2025-01-18 00:00:00-17:20,제주항공,"181,400"
