날짜시간,항공사,가격
2024-09-14 00:00:00-08:50,세부퍼시픽,"652,800"
2024-09-15 00:00:00-18:25,티웨이항공,"232,200"
2024-09-15 00:00:00-19:50,제주항공,"248,000"
2024-09-15 00:00:00-16:05,아시아나항공,"266,100"
2024-09-15 00:00:00-17:30,대한항공,"267,900"
2024-09-15 00:00:00-18:20,대한항공,"270,300"
2024-09-16 00:00:00-20:20,에어부산,"194,500"
2024-09-16 00:00:00-08:30,에어부산,"194,500"
2024-09-16 00:00:00-18:40,에어부산,"194,500"
2024-09-16 00:00:00-08:30,티웨이항공,"197,000"
2024-09-16 00:00:00-16:40,에어부산,"197,800"
2024-09-17 00:00:00-18:25,티웨이항공,"115,462"
2024-09-17 00:00:00-19:50,이스타항공,"141,600"
2024-09-17 00:00:00-14:40,티웨이항공,"149,217"
2024-09-17 00:00:00-16:00,티웨이항공,"149,217"
2024-09-17 00:00:00-10:05,대한항공,"150,667"
2024-09-18 00:00:00-18:25,티웨이항공,"95,300"
2024-09-18 00:00:00-19:50,에어서울,"114,900"
2024-09-18 00:00:00-14:25,이스타항공,"127,799"
2024-09-18 00:00:00-16:00,티웨이항공,"128,400"
2024-09-18 00:00:00-14:40,에어서울,"133,300"
2024-09-19 00:00:00-14:45,티웨이항공,"92,200"
2024-09-19 00:00:00-16:10,대한항공,"94,500"
2024-09-19 00:00:00-18:35,아시아나항공,"95,200"
2024-09-19 00:00:00-20:00,티웨이항공,"99,700"
2024-09-19 00:00:00-18:20,진에어,"100,800"
2024-09-21 00:00:00-18:35,대한항공,"81,892"
2024-09-21 00:00:00-20:00,티웨이항공,"97,629"
2024-09-21 00:00:00-18:25,티웨이항공,"122,236"
2024-09-21 00:00:00-19:50,에어서울,"123,765"
2024-09-21 00:00:00-14:45,에어부산,"125,000"
2024-09-22 00:00:00-14:45,티웨이항공,"97,629"
2024-09-22 00:00:00-16:10,에어부산,"102,242"
2024-09-22 00:00:00-07:20,에어서울,"103,422"
2024-09-22 00:00:00-08:55,이스타항공,"111,161"
2024-09-22 00:00:00-08:20,이스타항공,"118,868"
2024-09-23 00:00:00-07:20,에어부산,"104,400"
2024-09-23 00:00:00-08:55,에어서울,"103,422"
2024-09-23 00:00:00-08:20,제주항공,"122,908"
2024-09-23 00:00:00-10:00,티웨이항공,"122,236"
2024-09-23 00:00:00-06:25,이스타항공,"128,710"
2024-09-24 00:00:00-18:25,티웨이항공,"79,453"
2024-09-24 00:00:00-19:50,티웨이항공,"87,973"
2024-09-24 00:00:00-14:45,에어서울,"92,078"
2024-09-24 00:00:00-16:10,이스타항공,"98,693"
2024-09-24 00:00:00-07:40,에어부산,"94,400"
2024-09-25 00:00:00-18:25,티웨이항공,"79,200"
2024-09-25 00:00:00-19:50,에어부산,"89,000"
2024-09-25 00:00:00-07:20,대한항공,"89,800"
2024-09-25 00:00:00-08:55,아시아나항공,"90,800"
2024-09-25 00:00:00-18:35,제주항공,"94,900"
2024-09-26 00:00:00-18:25,티웨이항공,"106,717"
2024-09-26 00:00:00-19:50,티웨이항공,"115,596"
2024-09-26 00:00:00-14:45,이스타항공,"118,883"
2024-09-26 00:00:00-16:10,제주항공,"122,848"
