날짜시간,항공사,가격
2025-01-02 00:00:00-00:55,그레이터베이항공,"227,800"
2025-01-02 00:00:00-15:55,제주항공,"231,800"
2025-01-03 00:00:00-12:35,홍콩익스프레스항공,"196,200"
2025-01-03 00:00:00-15:35,홍콩익스프레스항공,"209,100"
2025-01-03 00:00:00-21:55,그레이터베이항공,"227,800"
2025-01-03 00:00:00-00:55,제주항공,"231,800"
2025-01-03 00:00:00-14:05,홍콩항공,"243,400"
2025-01-04 00:00:00-12:35,홍콩익스프레스항공,"196,200"
2025-01-04 00:00:00-15:35,홍콩익스프레스항공,"212,600"
2025-01-04 00:00:00-21:55,홍콩익스프레스항공,"221,900"
2025-01-04 00:00:00-00:55,그레이터베이항공,"227,800"
2025-01-04 00:00:00-15:55,홍콩항공,"243,400"
2025-01-05 00:00:00-12:35,홍콩익스프레스항공,"199,700"
2025-01-05 00:00:00-15:35,제주항공,"205,100"
2025-01-05 00:00:00-09:50,홍콩익스프레스항공,"212,600"
2025-01-05 00:00:00-12:55,홍콩익스프레스항공,"221,900"
2025-01-05 00:00:00-21:55,그레이터베이항공,"227,800"
2025-01-06 00:00:00-09:50,제주항공,"205,100"
2025-01-06 00:00:00-12:55,홍콩익스프레스항공,"221,900"
2025-01-06 00:00:00-21:55,그레이터베이항공,"227,800"
2025-01-06 00:00:00-00:55,홍콩익스프레스항공,"234,800"
2025-01-06 00:00:00-14:05,홍콩항공,"243,400"
2025-01-07 00:00:00-12:35,홍콩익스프레스항공,"196,200"
2025-01-07 00:00:00-15:35,홍콩익스프레스항공,"196,200"
2025-01-07 00:00:00-21:55,제주항공,"205,100"
2025-01-07 00:00:00-00:55,그레이터베이항공,"227,800"
2025-01-07 00:00:00-09:50,홍콩익스프레스항공,"234,800"
2025-01-08 00:00:00-09:50,제주항공,"178,400"
2025-01-08 00:00:00-12:55,홍콩익스프레스항공,"209,100"
2025-01-08 00:00:00-12:35,홍콩익스프레스항공,"209,100"
2025-01-08 00:00:00-15:35,그레이터베이항공,"227,800"
2025-01-08 00:00:00-21:55,홍콩항공,"243,400"
2025-01-09 00:00:00-21:55,홍콩익스프레스항공,"196,200"
2025-01-09 00:00:00-00:55,제주항공,"205,100"
2025-01-09 00:00:00-09:50,홍콩익스프레스항공,"209,100"
2025-01-09 00:00:00-12:55,그레이터베이항공,"227,800"
2025-01-09 00:00:00-12:35,홍콩항공,"243,400"
2025-01-10 00:00:00-21:55,홍콩익스프레스항공,"196,200"
2025-01-10 00:00:00-00:55,홍콩익스프레스항공,"196,200"
2025-01-10 00:00:00-15:55,홍콩익스프레스항공,"209,100"
2025-01-10 00:00:00-19:00,그레이터베이항공,"227,800"
2025-01-10 00:00:00-12:35,제주항공,"231,800"
2025-01-11 00:00:00-21:55,홍콩익스프레스항공,"199,700"
2025-01-11 00:00:00-00:55,홍콩익스프레스항공,"209,100"
2025-01-11 00:00:00-12:35,그레이터베이항공,"227,800"
2025-01-11 00:00:00-15:35,홍콩익스프레스항공,"234,800"
2025-01-11 00:00:00-14:05,홍콩항공,"243,400"
2025-01-12 00:00:00-21:55,홍콩익스프레스항공,"212,600"
2025-01-12 00:00:00-00:55,홍콩익스프레스항공,"212,600"
2025-01-12 00:00:00-12:35,제주항공,"215,900"
2025-01-12 00:00:00-15:35,그레이터베이항공,"227,800"
2025-01-12 00:00:00-09:50,홍콩익스프레스항공,"234,800"
2025-01-13 00:00:00-09:50,제주항공,"205,100"
2025-01-13 00:00:00-12:55,홍콩익스프레스항공,"209,100"
2025-01-13 00:00:00-12:35,홍콩익스프레스항공,"209,100"
2025-01-13 00:00:00-15:35,그레이터베이항공,"227,800"
2025-01-13 00:00:00-21:55,홍콩익스프레스항공,"238,400"
2025-01-14 00:00:00-09:50,제주항공,"178,400"
2025-01-14 00:00:00-12:55,홍콩익스프레스항공,"196,200"
2025-01-14 00:00:00-21:55,홍콩익스프레스항공,"209,100"
2025-01-14 00:00:00-00:55,그레이터베이항공,"227,800"
2025-01-14 00:00:00-12:35,홍콩익스프레스항공,"234,800"
2025-01-15 00:00:00-09:50,제주항공,"178,400"
2025-01-15 00:00:00-12:55,홍콩익스프레스항공,"196,200"
2025-01-15 00:00:00-12:35,홍콩익스프레스항공,"196,200"
2025-01-15 00:00:00-15:35,그레이터베이항공,"227,800"
